time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
0,40,4,40,10,0.981,9,,,
1,39,8,73,9.125,0.9653249999999995,7.890625,,,
2,39,12,97,8.083333333333334,0.9539249999999998,6.9305555,,,
3,38,16,138,8.625,0.9344499999999999,7.445312438,,,
4,38,20,169,8.45,0.9197250000000003,7.258333299999999,,,
4,38,24,186,7.75,0.9116500000000003,6.592013916666667,,,
5,38,28,217,7.75,0.8969249999999998,6.569940535714285,0.092925481,0.0005,16
6,37,32,253,7.90625,0.8798249999999995,6.727864656,0.268894762,0.0005,52
7,37,36,288,8,0.8632000000000003,6.824074138888889,0.033570878,0.0005,87
8,37,40,316,7.9,0.8498999999999997,6.702083400000001,0.13417090475559235,0.0005,115
9,37,44,352,8,0.8328000000000005,6.780303090909092,0.23189492523670197,0.0005,151
10,36,48,396,8.25,0.8118999999999996,7.056423666666667,0.12368613481521606,0.0005,195
12,36,52,440,8.461538461538462,0.7909999999999998,7.308493653846155,0.14367984235286713,0.0005,239
13,36,56,475,8.482142857142858,0.7743749999999996,7.3377976785714285,0.15705473721027374,0.0005,274
14,36,60,519,8.65,0.7534749999999998,7.50625005,0.19429925084114075,0.0005,318
15,36,64,554,8.65625,0.7368500000000004,7.5247396250000005,0.040576823,0.0005,353
16,36,68,598,8.794117647058824,0.7159499999999996,7.656250029411765,0.11611396819353104,0.0005,397
17,36,72,621,8.625,0.7050249999999998,7.495949097222223,0.009130513,0.0005,420
18,35,76,656,8.631578947368421,0.6883999999999995,7.502741250000001,0.1407572329044342,0.0005,455
19,35,80,699,8.7375,0.6679749999999998,7.606770850000001,0.012665918096899986,0.0005,498
20,35,84,738,8.785714285714286,0.6494499999999996,7.662698429,0.10106769949197769,0.0005,537
21,35,88,761,8.647727272727273,0.6385249999999998,7.527462136363638,0.11365380138158798,0.0005,560
21,35,92,778,8.456521739130435,0.6304499999999995,7.340579728,0.1555059552192688,0.0005,577
22,35,96,809,8.427083333333334,0.6157250000000002,7.305989594,0.4617396295070648,0.0005,608
23,35,100,844,8.44,0.5990999999999999,7.322083340000001,0.1257847249507904,0.0005,643
24,35,104,866,8.26,0.5886499999999999,7.134583339999999,0.3568355441093445,0.0005,665
25,35,108,901,8.28,0.5720249999999998,7.183333339999999,0.2739216685295105,0.0005,700
25,35,112,924,8.27,0.5610999999999998,7.18375001,0.38892099261283875,0.0005,723
26,35,116,952,8.14,0.5478000000000003,7.0645833499999995,0.36938583850860596,0.0005,751
27,35,120,996,8.27,0.5269000000000005,7.20083334,0.11569048464298248,0.0005,795
28,35,124,1034,8.48,0.5088500000000004,7.4137499999999985,0.15065248310565948,0.0005,833
30,35,128,1078,8.61,0.48794999999999944,7.538749980000001,0.2887129783630371,0.0005,877
31,35,132,1116,8.63,0.46990000000000043,7.562083309999999,0.014424494467675686,0.0005,915
32,35,136,1160,8.72,0.4489999999999996,7.63041664,0.018440961837768555,0.0005,959
33,35,140,1204,8.88,0.4280999999999998,7.8020833000000005,0.42976289987564087,0.0005,1003
34,35,144,1234,8.82,0.4138500000000003,7.7595833,0.12329554557800293,0.0005,1033
35,35,148,1278,8.82,0.39295000000000047,7.772499979999999,0.14366468787193298,0.0005,1077
36,35,152,1313,8.73,0.37632500000000013,7.677916630000001,0.022327622398734093,0.0005,1112
37,35,156,1349,8.74,0.3592249999999999,7.677083290000001,0.33163872361183167,0.0005,1148
38,35,160,1379,8.6,0.3449750000000006,7.553333299999999,0.2141503542661667,0.0005,1178
39,35,164,1409,8.55,0.33072499999999994,7.49166664,0.01929152,0.0005,1208
40,35,168,1444,8.46,0.3140999999999996,7.42208332,0.3240712285041809,0.0005,1243
42,35,172,1487,8.66,0.2936749999999998,7.602083329999999,0.062295518815517426,0.0005,1286
43,35,176,1531,8.75,0.272775,7.6983333300000005,0.14508406817913055,0.0005,1330
44,35,180,1566,8.67,0.25614999999999966,7.620833339999999,0.1197134256362915,0.0005,1365
45,35,184,1603,8.65,0.23857500000000054,7.619166670000001,0.020764194428920746,0.0005,1402
45,35,188,1611,8.5,0.23477499999999996,7.4745833300000015,0.020649172365665436,0.0005,1410
46,35,192,1655,8.77,0.21387500000000015,7.74291667,0.14993751049041748,0.0005,1454
48,35,196,1699,8.9,0.19297500000000034,7.85750001,0.16060295701026917,0.0005,1498
49,35,200,1737,8.93,0.17492500000000022,7.89083335,0.3918415606021881,0.0005,1536
50,35,204,1779,9.13,0.15497500000000042,8.102083350000001,0.014335698448121548,0.0005,1578
51,35,208,1805,9.04,0.14262500000000067,8.002083359999999,0.029026580974459648,0.0005,1604
52,35,212,1843,9.19,0.12457500000000055,8.1491667,0.025056094,0.0005,1642
53,35,216,1880,9.28,0.10700000000000043,8.22250003,0.017801655,0.0005,1679
54,35,220,1923,9.27,0.086575,8.1866667,0.050669562,0.0005,1722
55,35,224,1963,9.29,0.067575,8.203750020000001,0.022675037384033203,0.0005,1762
56,35,228,2003,9.25,0.05,8.184166699999999,0.021746609,0.0005,1802
57,35,232,2038,9.22,0.05,8.15083336,0.13677281141281128,0.0005,1837
58,35,236,2066,9.06,0.05,8.014166690000001,0.2051743119955063,0.0005,1865
59,35,240,2094,8.9,0.05,7.86583336,0.017808783799409866,0.0005,1893
60,35,244,2132,8.98,0.05,7.9529166999999985,0.29979175329208374,0.0005,1931
61,35,248,2176,8.98,0.05,7.9566666800000005,0.017327753826975822,0.0005,1975
62,35,252,2209,8.96,0.05,7.92625003,0.18537092208862305,0.0005,2008
63,35,256,2243,8.94,0.05,7.922916700000001,0.16213804483413696,0.0005,2042
64,35,260,2285,9.06,0.05,8.01708337,0.14715781807899475,0.0005,2084
66,35,264,2329,9.2,0.05,8.157916700000001,0.25742578506469727,0.0005,2128
67,35,268,2373,9.29,0.05,8.24708336,0.012054097838699818,0.0005,2172
68,35,272,2410,9.23,0.05,8.20208335,0.12856841087341309,0.0005,2209
69,35,276,2454,9.23,0.05,8.19708334,0.024736644700169563,0.0005,2253
70,35,280,2486,9.2,0.05,8.17333333,0.023946827,0.0005,2285
71,35,284,2519,9.16,0.05,8.11833334,0.1263543963432312,0.0005,2318
72,35,288,2555,9.44,0.05,8.40250001,0.2510611414909363,0.0005,2354
73,35,292,2599,9.44,0.05,8.397083330000001,0.023040332,0.0005,2398
74,35,296,2643,9.44,0.05,8.41458334,0.24690239131450653,0.0005,2442
76,35,300,2687,9.5,0.05,8.46541666,0.020228449255228043,0.0005,2486
77,35,304,2730,9.51,0.05,8.460416669999999,0.044224973767995834,0.0005,2529
78,35,308,2771,9.66,0.05,8.593749990000001,0.037818883,0.0005,2570
79,35,312,2805,9.62,0.05,8.54916666,0.10908746719360352,0.0005,2604
80,35,316,2845,9.65,0.05,8.59125,0.2096613645553589,0.0005,2644
81,35,320,2889,9.66,0.05,8.615,0.20538422465324402,0.0005,2688
83,35,324,2933,9.7,0.05,8.652500009999999,0.15163981914520264,0.0005,2732
84,35,328,2968,9.65,0.05,8.60500001,0.021610694006085396,0.0005,2767
84,35,332,2996,9.58,0.05,8.542083340000001,0.14089730381965637,0.0005,2795
85,35,336,3031,9.65,0.05,8.63208335,0.12938159704208374,0.0005,2830
86,35,340,3048,9.54,0.05,8.513333359999999,0.038761474,0.0005,2847
87,35,344,3092,9.6,0.05,8.560833350000001,0.1445617377758026,0.0005,2891
88,35,348,3131,9.55,0.05,8.481250029999998,0.2675570845603943,0.0005,2930
89,35,352,3167,9.58,0.05,8.50916668,0.02916991,0.0005,2966
90,35,356,3207,9.64,0.05,8.55625002,0.1366340070962906,0.0005,3006
91,35,360,3248,9.63,0.05,8.54875001,0.3598973751068115,0.0005,3047
93,35,364,3291,9.62,0.05,8.53583335,0.046754651,0.0005,3090
94,35,368,3330,9.57,0.05,8.477916689999999,0.12081042677164078,0.0005,3129
95,35,372,3374,9.64,0.05,8.564583360000002,0.088683896,0.0005,3173
96,35,376,3418,9.64,0.05,8.5704167,0.11795040965080261,0.0005,3217
97,35,380,3459,9.73,0.05,8.66500004,0.41533392667770386,0.0005,3258
99,35,384,3503,9.84,0.05,8.761250030000001,0.075189143,0.0005,3302
100,35,388,3546,9.91,0.05,8.81750004,0.052440468,0.0005,3345
101,35,392,3586,9.87,0.05,8.782083370000002,0.040135968,0.0005,3385
102,35,396,3630,9.87,0.05,8.79375003,0.023005111142992973,0.0005,3429
103,35,400,3674,9.87,0.05,8.78458337,0.28704625368118286,0.0005,3473
105,35,404,3718,9.88,0.05,8.797500020000001,0.039295845,0.0005,3517
106,35,408,3757,9.86,0.05,8.79541669,0.1537877321243286,0.0005,3556
107,35,412,3797,9.92,0.05,8.84416668,0.021991111,0.0005,3596
108,35,416,3841,9.96,0.05,8.88333334,0.19601161777973175,0.0005,3640
109,35,420,3885,9.96,0.05,8.897083349999997,0.2798193097114563,0.0005,3684
111,35,424,3929,9.96,0.05,8.896250019999998,0.25163692235946655,0.0005,3728
112,35,428,3968,10,0.05,8.94791668,0.34392958879470825,0.0005,3767
113,35,432,4007,10.11,0.05,9.04375002,0.086642683,0.0005,3806
114,35,436,4047,10.16,0.05,9.06041669,0.20699909329414368,0.0005,3846
115,35,440,4091,10.43,0.05,9.340000019999998,0.27425721287727356,0.0005,3890
116,35,444,4135,10.43,0.05,9.357083359999999,0.19431529939174652,0.0005,3934
118,35,448,4179,10.48,0.05,9.40875002,0.13442151248455048,0.0005,3978
119,35,452,4220,10.53,0.05,9.469583369999999,0.036017701,0.0005,4019
120,35,456,4260,10.53,0.05,9.47125003,0.28271377086639404,0.0005,4059
121,35,460,4304,10.56,0.05,9.4879167,0.020948629826307297,0.0005,4103
122,35,464,4347,10.56,0.05,9.48875003,0.14211679995059967,0.0005,4146
123,35,468,4391,10.61,0.05,9.52750003,0.033999331295490265,0.0005,4190
125,35,472,4432,10.58,0.05,9.477916700000002,0.035448063,0.0005,4231
126,35,476,4471,10.53,0.05,9.4191667,0.1983034610748291,0.0005,4270
127,35,480,4509,10.5,0.05,9.36083337,0.015653196722269058,0.0005,4308
128,35,484,4536,10.33,0.05,9.189166700000001,0.013874065,0.0005,4335
129,35,488,4580,10.34,0.05,9.2304167,0.24036626517772675,0.0005,4379
130,35,492,4624,10.38,0.05,9.280833379999999,0.12778256833553314,0.0005,4423
131,35,496,4665,10.35,0.05,9.24416671,0.050111335,0.0005,4464
132,35,500,4702,10.28,0.05,9.181250040000002,0.085099429,0.0005,4501
133,35,504,4740,10.22,0.05,9.14000005,0.12008239328861237,0.0005,4539
134,35,508,4781,10.24,0.05,9.138750040000001,0.04936349,0.0005,4580
136,35,512,4823,10.26,0.05,9.16041671,0.011164053343236446,0.0005,4622
136,35,516,4856,10.15,0.05,9.05750004,0.11509373039007187,0.0005,4655
137,35,520,4886,10.01,0.05,8.91875003,0.16114743053913116,0.0005,4685
138,35,524,4926,9.97,0.05,8.88125002,0.28490427136421204,0.0005,4725
139,35,528,4961,9.93,0.05,8.817500029999998,0.10301345586776733,0.0005,4760
141,35,532,5005,9.98,0.05,8.88500003,0.18760628998279572,0.0005,4804
142,35,536,5049,10.02,0.05,8.932500019999999,0.2998672425746918,0.0005,4848
143,35,540,5093,10.02,0.05,8.92208335,0.1009293869137764,0.0005,4892
144,35,544,5131,9.96,0.05,8.85000001,0.15749135613441467,0.0005,4930
145,35,548,5175,9.96,0.05,8.85875001,0.012182537466287613,0.0005,4974
147,35,552,5215,9.95,0.05,8.82083334,0.053766564,0.0005,5014
148,35,556,5255,9.95,0.05,8.82125001,0.15018825232982635,0.0005,5054
149,35,560,5299,9.95,0.05,8.84875,0.25207269191741943,0.0005,5098
150,35,564,5343,9.96,0.05,8.886249999999999,0.23564626276493073,0.0005,5142
151,35,568,5375,9.84,0.05,8.77624999,0.025347422808408737,0.0005,5174
152,35,572,5419,9.87,0.05,8.78916666,0.38875821232795715,0.0005,5218
153,35,576,5463,9.92,0.05,8.841249990000001,0.017341446,0.0005,5262
155,35,580,5507,9.98,0.05,8.938749989999998,0.078577407,0.0005,5306
155,35,584,5538,10.02,0.05,8.99291667,0.017356717959046364,0.0005,5337
157,35,588,5582,10.02,0.05,8.963749990000002,0.23309314250946045,0.0005,5381
158,35,592,5617,9.93,0.05,8.87083332,0.27343446016311646,0.0005,5416
159,35,596,5661,9.96,0.05,8.90749998,0.032807447016239166,0.0005,5460
160,35,600,5701,9.99,0.05,8.94291665,0.22947585582733154,0.0005,5500
161,35,604,5740,10,0.05,8.92708331,0.018328379839658737,0.0005,5539
162,35,608,5768,9.87,0.05,8.80874998,0.16661518812179565,0.0005,5567
163,35,612,5800,9.77,0.05,8.70833332,0.3054233491420746,0.0005,5599
164,35,616,5839,9.83,0.05,8.777083329999998,0.04295272,0.0005,5638
165,35,620,5876,9.9,0.05,8.84125,0.04387961,0.0005,5675
166,35,624,5915,9.89,0.05,8.84125001,0.12484554946422577,0.0005,5714
167,35,628,5958,9.97,0.05,8.94749999,0.082228579,0.0005,5757
168,35,632,5993,9.88,0.05,8.84124999,0.042278588,0.0005,5792
169,35,636,6035,9.86,0.05,8.82333333,0.22794783115386963,0.0005,5834
171,35,640,6076,9.83,0.05,8.80124999,0.018145635724067688,0.0005,5875
172,35,644,6120,9.89,0.05,8.861249990000001,0.17901127,0.0005,5919
173,35,648,6158,9.83,0.05,8.805416659999999,0.015691144,0.0005,5957
174,35,652,6182,9.67,0.05,8.655833329999998,0.074952997,0.0005,5981
175,35,656,6221,9.66,0.05,8.643749990000002,0.044607166200876236,0.0005,6020
176,35,660,6255,9.56,0.05,8.5275,0.3049059808254242,0.0005,6054
177,35,664,6295,9.52,0.05,8.46166667,0.024072183296084404,0.0005,6094
178,35,668,6335,9.6,0.05,8.54500001,0.063215472,0.0005,6134
179,35,672,6371,9.52,0.05,8.49333334,0.11538825184106827,0.0005,6170
180,35,676,6410,9.47,0.05,8.44666668,0.040525972843170166,0.0005,6209
181,35,680,6454,9.47,0.05,8.438750019999999,0.26626983284950256,0.0005,6253
183,35,684,6498,9.6,0.05,8.557083350000001,0.16047067940235138,0.0005,6297
184,35,688,6542,9.6,0.05,8.58750003,0.14834250509738922,0.0005,6341
185,35,692,6582,9.65,0.05,8.628333360000001,0.046065029,0.0005,6381
186,35,696,6609,9.48,0.05,8.44250004,0.17652112245559692,0.0005,6408
187,35,700,6648,9.47,0.05,8.427500040000002,0.2579154670238495,0.0005,6447
188,35,704,6690,9.5,0.05,8.474583379999999,0.13732294738292694,0.0005,6489
189,35,708,6721,9.53,0.05,8.509166720000001,0.016707042,0.0005,6520
190,35,712,6760,9.6,0.05,8.59083338,0.095704705,0.0005,6559
191,35,716,6800,9.61,0.05,8.58833337,0.14287571609020233,0.0005,6599
193,35,720,6844,9.68,0.05,8.682500030000002,0.15707220137119293,0.0005,6643
194,35,724,6883,9.68,0.05,8.65541669,0.060206469148397446,0.0005,6682
195,35,728,6919,9.61,0.05,8.54875003,0.070905298,0.0005,6718
196,35,732,6963,9.7,0.05,8.66083336,0.052384656,0.0005,6762
197,35,736,7002,9.67,0.05,8.64666669,0.20628061890602112,0.0005,6801
198,35,740,7040,9.64,0.05,8.624583359999999,0.080634117,0.0005,6839
199,35,744,7066,9.46,0.05,8.440000020000003,0.044469517,0.0005,6865
200,35,748,7102,9.44,0.05,8.42666668,0.3506884276866913,0.0005,6901
201,35,752,7146,9.64,0.05,8.63625,0.33049988746643066,0.0005,6945
202,35,756,7183,9.62,0.05,8.61541668,0.13092656433582306,0.0005,6982
203,35,760,7221,9.66,0.05,8.66625001,0.1048283576965332,0.0005,7020
204,35,764,7265,9.7,0.05,8.70541667,0.2624473571777344,0.0005,7064
206,35,768,7309,9.74,0.05,8.755833339999999,0.11799253523349762,0.0005,7108
206,35,772,7344,9.73,0.05,8.75,0.098438002,0.0005,7143
208,35,776,7383,9.73,0.05,8.75625,0.11858749389648438,0.0005,7182
209,35,780,7422,9.68,0.05,8.708333329999999,0.1536514312028885,0.0005,7221
210,35,784,7462,9.64,0.05,8.69625,0.10343481600284576,0.0005,7261
211,35,788,7506,9.64,0.05,8.664583330000001,0.1709880232810974,0.0005,7305
212,35,792,7550,9.68,0.05,8.70583333,0.4432363510131836,0.0005,7349
213,35,796,7587,9.78,0.05,8.82749999,0.2767868638038635,0.0005,7386
214,35,800,7627,9.79,0.05,8.852083330000001,0.25994542241096497,0.0005,7426
215,35,804,7665,9.75,0.05,8.81916666,0.14796462655067444,0.0005,7464
217,35,808,7704,9.83,0.05,8.91958333,0.14188550412654877,0.0005,7503
217,35,812,7739,9.79,0.05,8.88208334,0.24505701661109924,0.0005,7538
218,35,816,7774,9.74,0.05,8.830000019999998,0.07734488,0.0005,7573
220,35,820,7818,9.74,0.05,8.8254167,0.23249410092830658,0.0005,7617
221,35,824,7856,9.73,0.05,8.8341667,0.19686582684516907,0.0005,7655
222,35,828,7897,9.78,0.05,8.906250049999999,0.1488267332315445,0.0005,7696
223,35,832,7924,9.61,0.05,8.71833339,0.24652895331382751,0.0005,7723
224,35,836,7965,9.63,0.05,8.727916729999999,0.057923976331949234,0.0005,7764
225,35,840,8006,9.66,0.05,8.740000060000002,0.058536854,0.0005,7805
226,35,844,8040,9.74,0.05,8.82583341,0.065708153,0.0005,7839
227,35,848,8076,9.74,0.05,8.81958341,0.026063747704029083,0.0005,7875
228,35,852,8107,9.61,0.05,8.69666676,0.18408289551734924,0.0005,7906
229,35,856,8145,9.62,0.05,8.706666750000002,0.011998301,0.0005,7944
230,35,860,8173,9.52,0.05,8.60916675,0.024947041645646095,0.0005,7972
231,35,864,8217,9.52,0.05,8.625833429999998,0.1314222514629364,0.0005,8016
233,35,868,8261,9.52,0.05,8.619583420000001,0.031706687062978745,0.0005,8060
234,35,872,8305,9.61,0.05,8.70458342,0.29373449087142944,0.0005,8104
235,35,876,8342,9.59,0.05,8.69416676,0.1704026758670807,0.0005,8141
236,35,880,8386,9.64,0.05,8.72666675,0.039825379848480225,0.0005,8185
238,35,884,8430,9.68,0.05,8.74708341,0.15712280571460724,0.0005,8229
239,35,888,8468,9.62,0.05,8.68375008,0.034013740718364716,0.0005,8267
240,35,892,8512,9.62,0.05,8.691666750000001,0.15840695798397064,0.0005,8311
241,35,896,8556,9.69,0.05,8.77041675,0.14359349012374878,0.0005,8355
243,35,900,8597,9.7,0.05,8.79166675,0.2146037071943283,0.0005,8396
244,35,904,8631,9.66,0.05,8.743333410000002,0.1952585130929947,0.0005,8430
245,35,908,8675,9.71,0.05,8.77791674,0.1112031489610672,0.0005,8474
246,35,912,8716,9.77,0.05,8.8208334,0.021677587181329727,0.0005,8515
247,35,916,8750,9.76,0.05,8.8133334,0.028742252,0.0005,8549
248,35,920,8786,9.68,0.05,8.72041673,0.43610161542892456,0.0005,8585
249,35,924,8830,9.74,0.05,8.79500007,0.19002999365329742,0.0005,8629
251,35,928,8874,9.77,0.05,8.821666729999999,0.012018611654639244,0.0005,8673
252,35,932,8909,9.85,0.05,8.92833339,0.021218101,0.0005,8708
253,35,936,8953,9.88,0.05,8.97708338,0.12670226395130157,0.0005,8752
254,35,940,8990,9.84,0.05,8.94750005,0.062519327,0.0005,8789
255,35,944,9020,9.8,0.05,8.91625005,0.1472560614347458,0.0005,8819
257,35,948,9064,9.88,0.05,9.009166720000001,0.015649416,0.0005,8863
258,35,952,9097,9.9,0.05,9.02583338,0.017618431,0.0005,8896
259,35,956,9131,9.86,0.05,9.00375005,0.010345306247472763,0.0005,8930
260,35,960,9175,10.02,0.05,9.17000005,0.008302988,0.0005,8974
261,35,964,9219,10.02,0.05,9.19083337,0.21543046832084656,0.0005,9018
262,35,968,9252,9.91,0.05,9.06416671,0.5454789996147156,0.0005,9051
263,35,972,9290,9.85,0.05,8.99875005,0.015777066349983215,0.0005,9089
265,35,976,9330,9.88,0.05,9.017083379999999,0.14711198210716248,0.0005,9129
266,35,980,9374,9.88,0.05,9.03375005,0.16513995826244354,0.0005,9173
267,35,984,9418,9.88,0.05,9.04541672,0.15023298561573029,0.0005,9217
268,35,988,9454,9.86,0.05,9.03958337,0.3096415102481842,0.0005,9253
269,35,992,9490,9.78,0.05,8.955416699999999,0.27507638931274414,0.0005,9289
270,35,996,9529,9.73,0.05,8.900000039999998,0.020918809,0.0005,9328
271,35,1000,9566,9.69,0.05,8.85875004,0.18275567889213562,0.0005,9365
273,35,1004,9610,9.79,0.05,8.95958338,0.10848170518875122,0.0005,9409
274,35,1008,9654,9.79,0.05,8.96375005,0.023247108,0.0005,9453
275,35,1012,9692,9.76,0.05,8.94541671,0.36497530341148376,0.0005,9491
276,35,1016,9731,9.81,0.05,9.00500003,0.010237191803753376,0.0005,9530
277,35,1020,9768,9.82,0.05,9.03125002,0.27408862113952637,0.0005,9567
278,35,1024,9807,9.77,0.05,8.980000010000001,0.026572033762931824,0.0005,9606
